mbti,danceability_mean,energy_mean,loudness_mean,speechiness_mean,acousticness_mean,liveness_mean,valence_mean,tempo_mean,instrumentalness_mean
ISTJ,0.5633913043478261,0.4870521739130434,-8.983978260869566,0.0817673913043478,0.4229091304347827,0.1576826086956521,0.3504434782608694,128.3426086956522,0.0587689639130434
ISTJ,0.63074,0.6881800000000001,-7.0192,0.0890739999999999,0.1547273,0.218076,0.5162720000000001,126.9971,0.1810559498
ISTJ,0.4497206896551724,0.657755172413793,-8.765172413793104,0.0394448275862068,0.2149097365517241,0.166103448275862,0.2890448275862068,125.05258620689656,0.4502172413793103
ISTJ,0.54702,0.5503399999999999,-9.4898,0.060368,0.3196682319999999,0.182704,0.416902,122.06369999999998,0.1813093188
ISTJ,0.5933999999999999,0.5523,-9.5779,0.06076,0.140279,0.21524,0.38925,115.3575,0.12467022
ISTJ,0.52244,0.55362,-8.684,0.0527459999999999,0.34194024,0.13787,0.4178900000000001,120.54648000000002,0.0482518878
ISTJ,0.5642999999999999,0.49496,-9.04946,0.0699299999999999,0.385512822,0.160834,0.366208,121.07372,0.0719117718
ISTJ,0.5376538461538461,0.6078461538461538,-7.508384615384615,0.0692307692307692,0.2448342692307692,0.1853461538461538,0.5020384615384615,135.6893076923077,0.0111873684615384
ISTJ,0.45036,0.5079,-10.16168,0.047934,0.4176356599999999,0.158594,0.37792,117.96339999999998,0.1430112374
ISTJ,0.56196,0.57313,-8.196660000000001,0.065914,0.302781846,0.2029139999999999,0.427926,114.61918,0.1422160018
ISTJ,0.62896,0.50304,-7.57832,0.085226,0.460976,0.18969,0.4665800000000001,108.32282,0.0086307054
ISTJ,0.508611111111111,0.5044166666666666,-9.086361111111112,0.0641638888888888,0.4202604444444444,0.1460638888888888,0.2966083333333333,118.07283333333332,0.1572363658333333
ISTJ,0.6091176470588235,0.5062352941176471,-9.040176470588236,0.0836117647058823,0.3981941176470588,0.1732529411764706,0.4447058823529412,117.3405294117647,0.0222476570588235
ISTJ,0.5585357142857142,0.5592142857142857,-9.526571428571428,0.0610714285714285,0.2404157142857143,0.1665964285714286,0.3928357142857143,129.08246428571428,0.1540875346428571
ISTJ,0.5696599999999999,0.5951580000000001,-8.015059999999998,0.083228,0.284569,0.181464,0.48418,124.77134,0.0368287984
ISTJ,0.61382,0.75714,-5.1324000000000005,0.130164,0.1017229279999999,0.212236,0.48856,127.43038,0.0078477176
