mbti,danceability_mean,energy_mean,loudness_mean,speechiness_mean,acousticness_mean,liveness_mean,valence_mean,tempo_mean,instrumentalness_mean
ENFP,0.5863200000000001,0.61646,-7.43508,0.0730199999999999,0.25526,0.18211,0.495926,117.58624,0.0640488804
ENFP,0.5819,0.7206199999999999,-6.24298,0.056998,0.189903592,0.19865,0.562512,129.12242,0.0567225618
ENFP,0.8202499999999998,0.5093571428571428,-9.723321428571428,0.4186142857142857,0.1279043214285714,0.1368142857142857,0.4566428571428571,135.7489285714286,2.408678571428572e-05
ENFP,0.6445799999999999,0.67822,-6.0377600000000005,0.069694,0.16768651,0.19277,0.5511940000000001,120.46232,0.003086732
ENFP,0.73066,0.7348600000000001,-5.021780000000001,0.146378,0.0839131502,0.175508,0.7518199999999999,114.71498,0.670099
ENFP,0.6647600000000001,0.70868,-6.236180000000001,0.084624,0.20775832,0.204228,0.6838799999999999,128.82076,0.0503030112
ENFP,0.60476,0.7093400000000001,-5.6303600000000005,0.071888,0.217800678,0.1804319999999999,0.55316,124.30666,0.0126968262
ENFP,0.56768,0.6302599999999999,-7.53554,0.046244,0.3056089999999999,0.1748999999999999,0.4992399999999999,123.03854,0.1220151137999999
ENFP,0.5740999999999999,0.6508799999999999,-8.004159999999999,0.085052,0.2172796079999999,0.197424,0.54564,126.9598,0.0750925796
ENFP,0.5270454545454545,0.6575000000000001,-6.376454545454544,0.0417863636363636,0.2226862909090909,0.1802818181818181,0.4488636363636363,131.59377272727272,0.0935148636363636
ENFP,0.5659,0.6926400000000001,-7.689439999999999,0.0903879999999999,0.217472708,0.169092,0.544436,125.12014,0.3113224248
ENFP,0.5992999999999999,0.76068,-5.590520000000001,0.090344,0.118015154,0.1951159999999999,0.5976440000000001,128.8264,0.0646073266
ENFP,0.55912,0.590106,-8.030800000000001,0.040468,0.273579058,0.147396,0.4425879999999998,115.54936,0.0672076998
ENFP,0.58844,0.55074,-8.999319999999999,0.0499779999999999,0.27393132,0.1909239999999999,0.4323939999999999,126.43768,0.0309309674
ENFP,0.6126999999999999,0.6348400000000001,-6.9062600000000005,0.056788,0.239833982,0.1597139999999999,0.5114599999999999,121.61588,0.0260591924
